topic_id,topic_repr,mean,count
35,"period, buster, moron, bump, , , , , , ",0.7199395255696389,62
2,"exactly, lol, true, absolutely, hear, sad, good, oh, ha, point",0.6220558216862946,303
18,"thanks, thank, good luck, thanks thank, luck, posting, good, cheers, welcome, thanks good",0.5085617934094101,122
41,"happened, fear, hell, heart, happened wonder, happen, time, honest, yeah, guess",0.48533924943522405,57
30,"stormfront, ple, welcome stormfront, devoted, solely, forum, promoting, advanced, strategy, welcome",0.3903379110495249,75
23,"troll, say, ignore, stupid, idiot, nt, said, argument, bs, people",0.3771269588537936,106
24,"pm, welcome, email, talk, look forward, hello, forward, hi, join, message",0.37048366516828535,100
39,"idea, sounds, sounds like, good idea, yes, safe, know sounds, plan, like idea, suggestions",0.3514360453365213,59
44,"hope, bull, let, let hope, ll, happen, future, need, end, point",0.3482220131976932,51
11,"youtube, video, videos, watch, youtube youtube, description, pt, video youtube, text, christmas",0.3414323528313778,169
16,"2508, 1488, 88, id, 16, cf, 14, 32, 11, 26155",0.32626785118790236,136
20,"pictures, list, picture, photo, click, photos, use, download, lots, pic",0.2976242556268799,116
15,"ammo, stock, barrel, gun, shotgun, steel, rifle, brass, winchester, 000",0.28138343702469554,140
17,"tight, 1000, total, 2000, family, expensive, away, nt, bucks, medical",0.27210310582191716,124
1,"looking, live, im, area, meet, pm, email, talk, new, hey",0.26970812773713504,332
19,"book, read, books, pdf, booklet, copy, download, edition, reading, free",0.26772999190367186,117
27,"truth, news, article, lies, claims, false, speak, lie, paper, evidence",0.25873748420537274,79
26,"daughter, ll, lesson, girl, gets, nt, food, does nt, old, does",0.25795850461279907,81
32,"website, site, check, link, page, facebook, bookmarked, web, search, facebook page",0.2481207031270732,69
9,"thread, post, board, mods, forums, posted, posts, comment, forum, account",0.247348530874776,173
43,"beautiful, missouri, town, city, towns, cheap, ruined, house, live, lots",0.24700971678472483,52
13,"music, song, band, youtube, poland, songs, metal, listen, final, rock",0.2462905785729808,155
4,"black, police, youtube, murder, charged, man, killed, crime, woman, news",0.2405247409027857,284
33,"wear, pair, kiss, boots, shirt, nose, wore, shoes, dressed, kid",0.20799644247573965,68
12,"candy, food, eat, drink, beer, fruit, water, stuff, drinking, sugar",0.20780534198346698,162
28,"police, cops, cameras, cars, color, car, drunk, took, try, cop",0.20399789928228823,77
3,"school, schools, college, teachers, kids, home, university, public, high school, high",0.18519422620836948,296
38,"kids, child, age, children, kid, youth, taught, way, baby, young people",0.17654766540153552,59
37,"gun, guns, pistol, carry, ha, water, knives, firearms, ha ha, firearm",0.17456226013600826,60
34,"school, teachers, schools, white, teach, children, black, white children, kids, teacher",0.15546964650275186,64
6,"war, people, welfare, traitors, money, zog, government, need, land, nt",0.15441311192373897,215
42,"god, christian, bible, churches, satan, christ, romans, worship, sacrifice, christians",0.14844371971708756,54
31,"country, mexico, border, mexicans, tribe, native, drug, indians, native americans, patrol",0.1430852448940277,75
29,"eyes, hair, brown, blue, green, blue eyes, color, green eyes, brown eyes, eye",0.13305026050898935,77
14,"animals, ape, apes, dogs, animal, wolves, dog, cats, monkey, monkeys",0.1263329998457006,140
22,"race, races, mixing, racist, race mixing, white, mixed, person, whites, genetic",0.11733091786225265,107
36,"white, white kids, kids, children, white babies, black, babies, families, white families, white women",0.11594800443434325,61
25,"french, english, language, german, languages, europe, celts, scottish, speak, spanish",0.11240515033049243,84
21,"sweden, nordic, norway, swedish, finland, denmark, swedes, iceland, norwegian, scandinavia",0.10877139681828356,107
7,"slavic, greece, slavs, bulgarian, armenians, greek, russian, russia, upper, hungarian",0.10802524425463761,199
40,"africa, south, south africa, nigeria, sa, africans, nigerian, whites south, liberia, white south",0.1069150592310954,59
8,"ireland, irish, northern, flag, st, cross, people, celtic, promote, country",0.10554246505889943,189
5,"whites, white, nonwhites, non, minority, antiwhite, non white, race, white people, census",0.10550182860389173,251
0,"jews, jew, jewish, israel, holocaust, jesus, hitler, egyptians, arabs, people",0.10504826983563316,339
45,"asians, asian, japanese, internment, chinese, white girls, hate, girls, detrimental, white men",0.10117307528853417,50
10,"black, blacks, negro, negroes, black people, white, ghetto, negros, people, slaves",0.09726914661059603,171
-1,,0.0,4299
