topic,rank,word,weight
0,1,whites,0.043039926511593114
0,2,white,0.023798912075423256
0,3,pride,0.022556759815280318
0,4,white people,0.019038673105530105
0,5,minority,0.01884189988529818
0,6,proud white,0.017213478259052846
0,7,proud,0.015754805036800427
0,8,nonwhites,0.015113456730027121
0,9,white race,0.014982042556953222
0,10,race,0.011449159353852711
1,1,jews,0.08631978209895708
1,2,jew,0.061274152250558524
1,3,jewish,0.04789435768764781
1,4,jesus,0.025949657885543848
1,5,bible,0.012885472962867815
1,6,israeli,0.011985713128999747
1,7,word,0.011913898087382547
1,8,media,0.010500902182321787
1,9,kosher,0.009917914960788326
1,10,christ,0.009356936660708422
2,1,ireland,0.10287301428930826
2,2,irish,0.0829694540282039
2,3,northern,0.022850120246715146
2,4,promote,0.012339500692488561
2,5,council,0.010219109705181069
2,6,poles,0.009445667039027654
2,7,racism,0.009034120425705488
2,8,racist,0.0084793216411463
2,9,country,0.008457948158981193
2,10,consider,0.008226333794992373
3,1,murder,0.048469604428044544
3,2,charged,0.04471293832525272
3,3,police,0.04235057318759609
3,4,shot,0.031262922353083714
3,5,killed,0.02983026957458652
3,6,arrested,0.027029789058645604
3,7,county,0.025733712934774364
3,8,victim,0.025474574183933188
3,9,car,0.022618965676888352
3,10,death,0.020830667825257148
4,1,negro,0.050010327238556126
4,2,blacks,0.04484458675610918
4,3,negroes,0.04329943823444725
4,4,black,0.03681058775602231
4,5,black people,0.023412439479125698
4,6,negros,0.016924044343981027
4,7,security,0.01351128659264889
4,8,guards,0.011874463263812135
4,9,negroid,0.010423211380924663
4,10,rap,0.010423211380924663
5,1,stock,0.06127346563795865
5,2,cap,0.0380582822783161
5,3,gun,0.03775299961058797
5,4,model,0.025372188185544063
5,5,shoot,0.024716975789694097
5,6,company,0.024340320825225227
5,7,sight,0.024030979803893335
5,8,judge,0.02331073335549665
5,9,bought,0.02115177525762413
5,10,handgun,0.021076152150374457
6,1,thread,0.07615147658906311
6,2,post,0.0594601243516064
6,3,board,0.05087909622719727
